05.11.2023	16:26:22	63.819	-22.624	5.2 km	0.1	32.82	4.5 km ENE of Reykjanestá
05.11.2023	16:20:26	63.806	-22.675	7.0 km	0.6	79.68	1.6 km ENE of Reykjanestá
05.11.2023	16:18:23	63.876	-22.521	2.7 km	1.1	90.02	5.6 km NW of Grindavík
05.11.2023	16:17:10	63.863	-22.589	3.7 km	0.3	61.65	7.7 km WNW of Grindavík
05.11.2023	16:08:01	63.859	-22.623	5.6 km	1.0	90.03	7.7 km NNE of Reykjanestá
05.11.2023	16:05:21	63.859	-22.564	5.7 km	1.1	99.0	6.4 km WNW of Grindavík
05.11.2023	16:04:20	63.707	-23.281	4.3 km	0.5	47.9	3.2 km N of Geirfugladrangur
05.11.2023	16:04:03	63.829	-22.593	1.1 km	0.1	30.28	6.4 km ENE of Reykjanestá
05.11.2023	16:00:09	63.859	-22.434	2.4 km	1.0	99.0	2.3 km NNE of Grindavík
05.11.2023	15:59:04	63.870	-22.431	3.9 km	1.7	99.0	3.5 km N of Grindavík
05.11.2023	15:58:48	63.856	-22.597	5.4 km	1.2	99.0	7.8 km WNW of Grindavík
05.11.2023	15:55:46	63.869	-22.434	4.0 km	1.5	99.0	3.4 km N of Grindavík
05.11.2023	15:53:27	63.839	-22.565	9.3 km	0.1	90.01	6.0 km W of Grindavík
05.11.2023	15:53:05	63.860	-22.490	1.1 km	0.1	90.01	3.3 km NW of Grindavík
05.11.2023	15:52:14	63.885	-22.393	4.7 km	0.9	99.0	5.6 km NNE of Grindavík
05.11.2023	15:51:51	63.871	-22.418	2.5 km	0.6	90.01	3.8 km NNE of Grindavík
05.11.2023	15:51:50	63.811	-22.580	5.4 km	0.8	90.01	6.3 km E of Reykjanestá
05.11.2023	15:50:52	63.866	-23.282	1.1 km	0.8	66.56	19.2 km N of Geirfuglasker
05.11.2023	15:48:59	63.683	-19.552	6.9 km	1.8	39.0	3.6 km W of Básar
05.11.2023	15:45:36	63.859	-22.624	5.6 km	1.1	90.04	7.7 km NNE of Reykjanestá
05.11.2023	15:41:07	63.948	-22.094	5.4 km	0.3	90.02	3.9 km E of Keilir
05.11.2023	15:34:52	63.860	-22.624	4.9 km	0.3	90.01	7.8 km NNE of Reykjanestá
05.11.2023	15:31:03	63.870	-22.444	3.5 km	0.8	90.03	3.5 km N of Grindavík
05.11.2023	15:30:32	63.857	-22.622	6.0 km	0.4	72.3	7.5 km NNE of Reykjanestá
05.11.2023	15:28:17	63.851	-22.598	4.6 km	0.6	88.03	7.7 km NE of Reykjanestá
05.11.2023	15:26:43	63.872	-22.424	0.1 km	0.8	99.0	3.8 km NNE of Grindavík
05.11.2023	15:26:11	63.709	-23.107	1.1 km	0.3	81.79	5.2 km ENE of Geirfuglasker
05.11.2023	15:24:46	63.868	-22.438	2.4 km	1.0	99.0	3.2 km N of Grindavík
05.11.2023	15:24:34	63.865	-22.457	5.1 km	0.7	99.0	2.9 km NNW of Grindavík
05.11.2023	15:23:31	63.867	-22.445	4.3 km	1.6	99.0	3.1 km N of Grindavík
05.11.2023	15:23:23	63.870	-22.441	2.3 km	0.9	99.0	3.5 km N of Grindavík
05.11.2023	15:23:10	63.869	-22.440	1.1 km	0.2	99.0	3.3 km N of Grindavík
05.11.2023	15:22:25	63.885	-22.412	5.9 km	1.0	90.03	5.3 km NNE of Grindavík
05.11.2023	15:21:38	63.876	-22.413	2.4 km	0.9	99.0	4.4 km NNE of Grindavík
05.11.2023	15:20:50	64.154	-23.286	1.1 km	1.8	38.2	31.2 km WNW of Sandgerði
05.11.2023	15:20:22	63.869	-22.433	2.4 km	0.9	99.0	3.4 km N of Grindavík
05.11.2023	15:18:45	63.875	-22.414	3.7 km	1.2	99.0	4.3 km NNE of Grindavík
05.11.2023	15:14:54	63.874	-22.416	4.7 km	2.5	99.0	4.1 km NNE of Grindavík
05.11.2023	15:13:03	63.872	-22.524	1.8 km	0.3	37.85	5.4 km NW of Grindavík
05.11.2023	15:11:34	63.831	-22.638	4.5 km	1.2	63.45	4.8 km NE of Reykjanestá
05.11.2023	15:11:08	63.819	-22.641	5.6 km	1.0	90.01	3.8 km ENE of Reykjanestá
05.11.2023	15:10:46	63.875	-22.422	5.1 km	1.2	99.0	4.1 km NNE of Grindavík
05.11.2023	15:10:27	63.867	-22.444	4.1 km	1.9	99.0	3.1 km N of Grindavík
05.11.2023	15:04:20	63.830	-22.639	4.8 km	0.8	48.86	4.6 km NE of Reykjanestá
05.11.2023	15:01:37	63.874	-22.384	4.4 km	1.3	99.0	4.9 km NE of Grindavík
05.11.2023	14:59:21	63.859	-22.426	2.8 km	0.7	99.0	2.4 km NNE of Grindavík
05.11.2023	14:57:25	63.833	-22.668	6.3 km	0.3	45.88	4.1 km NNE of Reykjanestá
05.11.2023	14:56:44	63.831	-22.603	4.0 km	0.8	90.01	6.1 km NE of Reykjanestá
05.11.2023	14:56:29	63.857	-22.547	5.5 km	0.7	63.09	5.5 km WNW of Grindavík
05.11.2023	14:53:54	63.873	-22.442	4.3 km	1.1	99.0	3.8 km N of Grindavík
05.11.2023	14:52:20	63.875	-22.432	3.9 km	1.1	99.0	4.1 km N of Grindavík
05.11.2023	14:50:52	63.874	-22.428	1.8 km	0.6	99.0	4.0 km N of Grindavík
05.11.2023	14:49:19	63.883	-23.503	1.1 km	0.7	72.26	25.1 km NNW of Geirfugladrangur
05.11.2023	14:48:31	63.863	-22.431	5.2 km	0.9	90.04	2.7 km NNE of Grindavík
05.11.2023	14:45:59	63.869	-22.431	4.2 km	1.9	99.0	3.4 km N of Grindavík
05.11.2023	14:43:17	63.871	-22.438	4.9 km	3.4	99.0	3.5 km N of Grindavík
05.11.2023	14:41:53	64.003	-23.124	1.1 km	0.2	73.39	20.9 km W of Sandgerði
05.11.2023	14:41:21	63.822	-22.673	7.5 km	0.9	80.5	2.9 km NNE of Reykjanestá
05.11.2023	14:38:06	63.873	-22.418	2.6 km	1.3	90.01	4.0 km NNE of Grindavík
05.11.2023	14:37:56	63.862	-22.446	3.4 km	0.7	90.02	2.6 km N of Grindavík
05.11.2023	14:37:52	63.861	-22.509	1.1 km	0.2	90.01	4.1 km NW of Grindavík
05.11.2023	14:37:30	63.866	-22.432	3.8 km	1.5	99.0	3.1 km N of Grindavík
05.11.2023	14:37:10	63.865	-22.437	4.4 km	2.2	99.0	3.0 km N of Grindavík
05.11.2023	14:35:20	63.830	-22.640	4.7 km	1.3	90.04	4.6 km NE of Reykjanestá
05.11.2023	14:31:22	63.872	-22.418	3.4 km	1.7	99.0	3.9 km NNE of Grindavík
05.11.2023	14:30:48	63.858	-22.619	6.0 km	0.2	56.97	7.7 km NNE of Reykjanestá
05.11.2023	14:26:36	63.729	-22.871	5.2 km	0.7	36.29	4.5 km ESE of Eldey
05.11.2023	14:25:07	63.877	-22.434	4.3 km	2.5	99.0	4.2 km N of Grindavík
05.11.2023	14:23:37	63.876	-22.432	1.4 km	0.1	90.01	4.2 km N of Grindavík
05.11.2023	14:23:11	63.371	-24.141	5.0 km	2.3	59.83	21.3 km SW of Eldeyjarboði
05.11.2023	14:21:42	63.875	-22.442	4.2 km	2.7	99.0	4.0 km N of Grindavík
05.11.2023	14:12:10	63.844	-22.629	1.1 km	0.6	90.01	6.1 km NE of Reykjanestá
05.11.2023	14:09:56	63.813	-22.669	3.9 km	0.1	46.17	2.3 km NE of Reykjanestá
05.11.2023	14:02:23	63.873	-22.420	2.1 km	0.5	99.0	4.0 km NNE of Grindavík
05.11.2023	14:02:15	63.877	-22.419	0.4 km	0.2	99.0	4.4 km NNE of Grindavík
05.11.2023	13:56:33	63.829	-22.549	15.5 km	0.2	90.01	5.3 km WSW of Grindavík
05.11.2023	13:56:07	63.868	-22.421	4.4 km	1.2	90.06	3.4 km NNE of Grindavík
